word,filename,structure,set,setN
nan,nan.mp3,CVC,APTIN,1
pan,pan.mp3,CVC,APTIN,1
tan,tan.mp3,CVC,APTIN,1
nap,nap.mp3,CVC,APTIN,1
tap,tap.mp3,CVC,APTIN,1
pat,pat.mp3,CVC,APTIN,1
pin,pin.mp3,CVC,APTIN,1
tin,tin.mp3,CVC,APTIN,1
nip,nip.mp3,CVC,APTIN,1
pip,pip.mp3,CVC,APTIN,1
tip,tip.mp3,CVC,APTIN,1
ton,ton.mp3,CVC,SMOBC,2
pop,pop.mp3,CVC,SMOBC,2
top,top.mp3,CVC,SMOBC,2
pot,pot.mp3,CVC,SMOBC,2
can,can.mp3,CVC,SMOBC,2
man,man.mp3,CVC,SMOBC,2
cap,cap.mp3,CVC,SMOBC,2
map,map.mp3,CVC,SMOBC,2
sap,sap.mp3,CVC,SMOBC,2
bat,bat.mp3,CVC,SMOBC,2
cat,cat.mp3,CVC,SMOBC,2
mat,mat.mp3,CVC,SMOBC,2
sat,sat.mp3,CVC,SMOBC,2
bib,bib.mp3,CVC,SMOBC,2
bin,bin.mp3,CVC,SMOBC,2
min,min.mp3,CVC,SMOBC,2
sip,sip.mp3,CVC,SMOBC,2
sit,sit.mp3,CVC,SMOBC,2
mom,mom.mp3,CVC,SMOBC,2
cop,cop.mp3,CVC,SMOBC,2
mop,mop.mp3,CVC,SMOBC,2
bot,bot.mp3,CVC,SMOBC,2
cot,cot.mp3,CVC,SMOBC,2
pen,pen.mp3,CVC,GHKDE,3
ten,ten.mp3,CVC,GHKDE,3
pig,pig.mp3,CVC,GHKDE,3
men,men.mp3,CVC,GHKDE,3
gas,gas.mp3,CVC,GHKDE,3
hat,hat.mp3,CVC,GHKDE,3
den,den.mp3,CVC,GHKDE,3
hen,hen.mp3,CVC,GHKDE,3
dig,dig.mp3,CVC,GHKDE,3
dim,dim.mp3,CVC,GHKDE,3
him,him.mp3,CVC,GHKDE,3
din,din.mp3,CVC,GHKDE,3
gin,gin.mp3,CVC,GHKDE,3
kin,kin.mp3,CVC,GHKDE,3
dip,dip.mp3,CVC,GHKDE,3
hip,hip.mp3,CVC,GHKDE,3
god,god.mp3,CVC,GHKDE,3
hop,hop.mp3,CVC,GHKDE,3
hot,hot.mp3,CVC,GHKDE,3
dab,dab.mp3,CVC,GHKDE,3
gap,gap.mp3,CVC,GHKDE,3
pug,pug.mp3,CVC,LRFVU,4
tug,tug.mp3,CVC,LRFVU,4
tum,tum.mp3,CVC,LRFVU,4
pup,pup.mp3,CVC,LRFVU,4
bud,bud.mp3,CVC,LRFVU,4
mud,mud.mp3,CVC,LRFVU,4
bug,bug.mp3,CVC,LRFVU,4
mug,mug.mp3,CVC,LRFVU,4
mum,mum.mp3,CVC,LRFVU,4
cup,cup.mp3,CVC,LRFVU,4
dud,dud.mp3,CVC,LRFVU,4
hug,hug.mp3,CVC,LRFVU,4
gum,gum.mp3,CVC,LRFVU,4
rug,rug.mp3,CVC,LRFVU,4
rib,rib.mp3,CVC,LRFVU,4
fan,fan.mp3,CVC,LRFVU,4
ran,ran.mp3,CVC,LRFVU,4
van,van.mp3,CVC,LRFVU,4
rap,rap.mp3,CVC,LRFVU,4
fat,fat.mp3,CVC,LRFVU,4
rat,rat.mp3,CVC,LRFVU,4
fin,fin.mp3,CVC,LRFVU,4
lip,lip.mp3,CVC,LRFVU,4
rip,rip.mp3,CVC,LRFVU,4
lop,lop.mp3,CVC,LRFVU,4
rot,rot.mp3,CVC,LRFVU,4
lap,lap.mp3,CVC,LRFVU,4
fix,fix.mp3,CVC,JWZXY,5
jam,jam.mp3,CVC,JWZXY,5
jet,jet.mp3,CVC,JWZXY,5
jog,jog.mp3,CVC,JWZXY,5
six,six.mp3,CVC,JWZXY,5
yak,yak.mp3,CVC,JWZXY,5
yap,yap.mp3,CVC,JWZXY,5
zen,zen.mp3,CVC,JWZXY,5
zip,zip.mp3,CVC,JWZXY,5
spill,spill.mp3,CCVC,blends,blends
tim,tim.mp3,CVC,SMOBC,2
bop,bop.mp3,CVC,SMOBC,2
ben,ben.mp3,CVC,GHKDE,3
dan,dan.mp3,CVC,GHKDE,3
has,has.mp3,CVC,GHKDE,3
his,his.mp3,CVC,GHKDE,3
ham,ham.mp3,CVC,GHKDE,3
lug,lug.mp3,CVC,LRFVU,4
fib,fib.mp3,CVC,LRFVU,4
lat,lat.mp3,CVC,LRFVU,4
lot,lot.mp3,CVC,LRFVU,4
sax,sax.mp3,CVC,JWZXY,5
wax,wax.mp3,CVC,JWZXY,5
wet,wet.mp3,CVC,JWZXY,5
win,win.mp3,CVC,JWZXY,5
won,won.mp3,CVC,JWZXY,5
yep,yep.mp3,CVC,JWZXY,5
yes,yes.mp3,CVC,JWZXY,5
zap,zap.mp3,CVC,JWZXY,5
jib,jib.mp3,CVC,JWZXY,5
was,was.mp3,CVC,JWZXY,5
chap,chap.mp3,CVC,"qu,sh,th,ch,ay",6
chin,chin.mp3,CVC,"qu,sh,th,ch,ay",6
chop,chop.mp3,CVC,"qu,sh,th,ch,ay",6
chug,chug.mp3,CVC,"qu,sh,th,ch,ay",6
fish,fish.mp3,CVC,"qu,sh,th,ch,ay",6
hush,hush.mp3,CVC,"qu,sh,th,ch,ay",6
shed,shed.mp3,CVC,"qu,sh,th,ch,ay",6
shin,shin.mp3,CVC,"qu,sh,th,ch,ay",6
ship,ship.mp3,CVC,"qu,sh,th,ch,ay",6
shop,shop.mp3,CVC,"qu,sh,th,ch,ay",6
thud,thud.mp3,CVC,"qu,sh,th,ch,ay",6
wish,wish.mp3,CVC,"qu,sh,th,ch,ay",6
pack,pack.mp3,CVC,"wh,ck,ee,er,ar",7
tack,tack.mp3,CVC,"wh,ck,ee,er,ar",7
nick,nick.mp3,CVC,"wh,ck,ee,er,ar",7
pick,pick.mp3,CVC,"wh,ck,ee,er,ar",7
tick,tick.mp3,CVC,"wh,ck,ee,er,ar",7
puck,puck.mp3,CVC,"wh,ck,ee,er,ar",7
back,back.mp3,CVC,"wh,ck,ee,er,ar",7
sack,sack.mp3,CVC,"wh,ck,ee,er,ar",7
muck,muck.mp3,CVC,"wh,ck,ee,er,ar",7
suck,suck.mp3,CVC,"wh,ck,ee,er,ar",7
kick,kick.mp3,CVC,"wh,ck,ee,er,ar",7
duck,duck.mp3,CVC,"wh,ck,ee,er,ar",7
lack,lack.mp3,CVC,"wh,ck,ee,er,ar",7
rack,rack.mp3,CVC,"wh,ck,ee,er,ar",7
lick,lick.mp3,CVC,"wh,ck,ee,er,ar",7
luck,luck.mp3,CVC,"wh,ck,ee,er,ar",7
chick,chick.mp3,CVC,"wh,ck,ee,er,ar",7
chuck,chuck.mp3,CVC,"wh,ck,ee,er,ar",7
shuck,shuck.mp3,CVC,"wh,ck,ee,er,ar",7
whack,whack.mp3,CVC,"wh,ck,ee,er,ar",7
when,when.mp3,CVC,"wh,ck,ee,er,ar",7
whim,whim.mp3,CVC,"wh,ck,ee,er,ar",7
yuck,yuck.mp3,CVC,"wh,ck,ee,er,ar",7
main,main.mp3,CVC,"ed,oo,igh,ai,oy",8
sight,sight.mp3,CVC,"ed,oo,igh,ai,oy",8
gain,gain.mp3,CVC,"ed,oo,igh,ai,oy",8
good,good.mp3,CVC,"ed,oo,igh,ai,oy",8
rain,rain.mp3,CVC,"ed,oo,igh,ai,oy",8
fight,fight.mp3,CVC,"ed,oo,igh,ai,oy",8
food,food.mp3,CVC,"ed,oo,igh,ai,oy",8
boat,boat.mp3,CVC,"oi,oa,ea,ir,ow",9
coil,coil.mp3,CVC,"oi,oa,ea,ir,ow",9
cheat,cheat.mp3,CVC,"oi,oa,ea,ir,ow",9
wren,wren.mp3,CVC,"oe,au,aw,or,wr",10
height,height.mp3,CVC,"ph,kn,ie,ei,eigh",11
rein,rein.mp3,CVC,"ph,kn,ie,ei,eigh",11
lied,lied.mp3,CVC,"ph,kn,ie,ei,eigh",11
knack,knack.mp3,CVC,"ph,kn,ie,ei,eigh",11
gears,gears.mp3,CVC,"ou,ew,ur,ear,wor",12
suit,suit.mp3,CVC,"dge,ui,ng,ey,ough",13
reign,reign.mp3,CVC,"gu,ti,si,ci,gn",14
gnash,gnash.mp3,CVC,"gu,ti,si,ci,gn",14
gnat,gnat.mp3,CVC,"gu,ti,si,ci,gn",14
drug,drug.mp3,CCVC,grade 6 blends,15
black,black.mp3,CCVC,grade 6 blends,15
crack,crack.mp3,CCVC,grade 6 blends,15
brain,brain.mp3,CCVC,grade 6 blends,15
great,great.mp3,CCVC,grade 6 blends,15
stick,stick.mp3,CCVC,grade 6 blends,15
stop,stop.mp3,CCVC,grade 6 blends,15
jump,jump.mp3,CVCC,blends,blends
will,will.mp3,CVC,blends,blends
