kind,id,filename,exists,notes
phoneme,p,p.mp3,yes,/p/ as in pen (legacy sounds/p ([p]en)/)
phoneme,b,b.mp3,yes,/b/ as in bed (legacy sounds/b ([b]ed)/)
phoneme,t,t.mp3,yes,/t/ as in ten (legacy sounds/t ([t]wo)/)
phoneme,d,d.mp3,yes,/d/ as in dog (legacy sounds/d ([d]o)/)
phoneme,k,k.mp3,yes,/k/ as in cat (legacy sounds/k ([k]ite)/)
phoneme,g,g.mp3,yes,/g/ as in go (legacy sounds/g ([g]o)/)
phoneme,ch,ch.mp3,yes,/ch/ as in chop (legacy sounds/tʃ ([ch]air)/)
phoneme,j,j.mp3,yes,/j/ as in jam (legacy sounds/dʒ ([j]am)/)
phoneme,f,f.mp3,yes,/f/ as in fish (legacy sounds/f ([f]ish)/)
phoneme,v,v.mp3,yes,/v/ as in van (legacy sounds/v ([v]ery)/)
phoneme,th,th.mp3,yes,/th/ (quiet) as in thin (legacy sounds/θ ([th]in)/)
phoneme,dh,dh.mp3,yes,/th/ (noisy) as in this (legacy sounds/ð ([th]is)/)
phoneme,s,s.mp3,yes,/s/ as in sun (legacy sounds/s ([s]ee)/)
phoneme,z,z.mp3,yes,/z/ as in zoo (legacy sounds/z ([z]oo)/)
phoneme,sh,sh.mp3,yes,/sh/ as in ship (legacy sounds/ʃ ([sh]e)/)
phoneme,zh,zh.mp3,yes,/zh/ as in vision (legacy sounds/ʒ (vi[si]on)/)
phoneme,h,h.mp3,yes,/h/ as in hat (legacy sounds/h ([h]at)/)
phoneme,m,m.mp3,yes,/m/ as in man (legacy sounds/m ([m]e)/)
phoneme,n,n.mp3,yes,/n/ as in net (legacy sounds/n ([n]o)/)
phoneme,ng,ng.mp3,yes,/ng/ as in ring (legacy sounds/ŋ (si[ng])/)
phoneme,l,l.mp3,yes,/l/ as in leg (legacy sounds/l ([l]ook)/)
phoneme,r,r.mp3,yes,/r/ as in red (legacy sounds/r ([r]ed)/)
phoneme,w,w.mp3,yes,/w/ as in wet (legacy sounds/w ([w]e)/)
phoneme,y,y.mp3,,/y/ as in yes
phoneme,a,a.mp3,yes,/a/ as in cat (legacy sounds/æ (c[a]t)/)
phoneme,e,e.mp3,yes,/e/ as in bed (legacy sounds/e (b[e]d)/)
phoneme,i,i.mp3,yes,/i/ as in sit (legacy sounds/ɪ (s[i]t)/)
phoneme,o,o.mp3,yes,/o/ as in hot (legacy sounds/ɔ (h[o]t)/)
phoneme,u,u.mp3,yes,/u/ as in cup (legacy sounds/ɐ (c[u]t)/)
phoneme,oo_short,oo_short.mp3,yes,/oo/ (short) as in book (legacy sounds/ʊ (p[u]t)/)
phoneme,ay,ay.mp3,yes,/ay/ as in play (long a) (legacy sounds/eɪ (d[ay])/)
phoneme,ee,ee.mp3,yes,/ee/ as in see (long e) (legacy sounds/iː (s[ee])/)
phoneme,igh,igh.mp3,yes,/igh/ as in light (long i) (legacy sounds/aɪ (m[y])/)
phoneme,oa,oa.mp3,yes,/oa/ as in boat (long o) (legacy sounds/əʉ (g[o])/)
phoneme,oo_long,oo_long.mp3,yes,/oo/ (long) as in moon (legacy sounds/ʉː (f[oo]d)/)
phoneme,ow,ow.mp3,yes,/ow/ as in cow (legacy sounds/aʊ (n[ow])/)
phoneme,oy,oy.mp3,yes,/oy/ as in boy (legacy sounds/ɔɪ (b[oy])/)
phoneme,ar,ar.mp3,yes,/ar/ as in car (legacy sounds/aː (sp[a])/)
phoneme,or,or.mp3,yes,/or/ as in fork (legacy sounds/ɔː (d[oor])/)
phoneme,er,er.mp3,yes,/er/ as in her (legacy sounds/ɜː (h[er])/)
phoneme,air,air.mp3,,/air/ as in chair
phoneme,ear,ear.mp3,,/ear/ as in near
phoneme,ure,ure.mp3,,/ure/ as in cure
phoneme,schwa,schwa.mp3,yes,"/uh/ — schwa, as in about (legacy sounds/ə ([a]bout)/)"
teaching-unit,ks,ks.mp3,,/ks/ as in box (letter x)
teaching-unit,kw,kw.mp3,,/kw/ as in queen (qu)
teaching-unit,yoo,yoo.mp3,,/yoo/ as in music (long u)
teaching-unit,schwa_r,schwa_r.mp3,,unstressed -er as in letter
